Tipo,Descripcion,Habitaciones,Baños,Área,Barrio,UPZ,Valor
Apartamento,Apartamento en venta en Hayuelos,3,2,61,Hayuelos,Modelia,$ 300.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 278.000.000
Apartamento,Apartamento en venta en Engativa,3,2,60,Engativa,Engativá,$ 258.000.000
Apartamento,Apartamento en venta en Fontibón,3,3,87,Fontibón,Fontibón,$ 520.000.000
Apartamento,Apartamento en venta en Villa Alsacia,3,2,75,Villa Alsacia,KENNEDY: Castilla + Bavaria,$ 350.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,32,2,63,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 290.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,2,45,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 129.000.000
Casa,Casa en venta en Tintala,3,2,75,Tintala,Tintala,$ 200.000.000
Apartamento,Apartamento en venta en Palermo,3,2,130,Palermo,Galerías,$ 750.000.000
Apartamento,Apartamento en venta en El Batán,3,3,103,El Batán,La Alhambra,$ 418.000.000
Apartamento,Apartamento en venta en Chico Reservado,1,1,64,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 495.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,80,Usaquén,Usaquén,$ 349.000.000
Apartamento,Apartamento en venta en Castilla,3,2,68,Castilla,KENNEDY: Castilla + Bavaria,$ 310.000.000
Apartamento,Apartamento en venta en Santa Barbara,3,1,101,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 565.000.000
Apartamento,Apartamento en venta en Mirandela ,3,3,87,Mirandela ,SUBA: La Academia + Guaymaral + San José de Bavaria,$ 370.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 259.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,79,Cedritos,Usaquén,$ 354.000.000
Casa,Casa en venta en Zona Noroccidental,3,2,86,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 285.000.000
Apartamento,Apartamento en venta en Fontibón,3,2,84,Fontibón,Fontibón,$ 420.000.000
Apartamento,Apartamento en venta en Mazuren,3,3,92,Mazuren,El Prado,$ 372.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,88,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 500.000.000
Apartamento,Apartamento en venta en Kennedy,2,1,40,Kennedy,Kennedy Central,$ 185.000.000
Apartamento,Apartamento en venta en El Contador,3,3,177,El Contador,Los Cedros,$ 1.050.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,80,Usaquén,Usaquén,$ 349.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,4,4,294,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.800.000.000
Apartamento,Apartamento en venta en La Candelaria,4,4,160,La Candelaria,La Candelaria,$ 900.000.000
Apartamento,Apartamento en venta en El Contador,3,3,206,El Contador,Los Cedros,$ 990.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,2,60,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 225.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,1,44,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 148.000.000
Apartamento,Apartamento en venta en Engativa,2,2,53,Engativa,Engativá,$ 331.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,1,1,58,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 300.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,152,Usaquén,Usaquén,$ 1.030.000.000
Apartamento,Apartamento en venta en Kennedy,2,1,40,Kennedy,Kennedy Central,$ 195.000.000
Apartamento,Apartamento en venta en Kennedy,2,1,40,Kennedy,Kennedy Central,$ 200.000.000
Apartamento,Apartamento en venta en Fontibón,3,1,48,Fontibón,Fontibón,$ 168.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,68,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 323.000.000
Casa,Casa en venta en Kennedy,3,2,86,Kennedy,Kennedy Central,$ 275.000.000
Apartamento,Apartamento en venta en Santa Barbara,3,3,114,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 510.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,1,44,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 176.000.000
Apartamento,Apartamento en venta en Ciudad Salitre,3,2,100,Ciudad Salitre,Ciudad Salitre Oriental,$ 680.000.000
Apartamento,Apartamento en venta en Quinta Paredes,3,2,100,Quinta Paredes,Teusaquillo,$ 680.000.000
Apartamento,Apartamento en venta en Hayuelos,3,2,45,Hayuelos,Modelia,$ 217.000.000
Apartamento,Apartamento en venta en Usaquén,3,5,178,Usaquén,Usaquén,$ 1.050.000.000
Casa,Casa en venta en Usaquén,4,3,105,Usaquén,Usaquén,$ 375.000.000
Apartamento,Apartamento en venta en Cedritos,3,2,98,Cedritos,Usaquén,$ 458.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Ciudad Salitre,4,2,200,Ciudad Salitre,Ciudad Salitre Oriental,$ 2.000.000.000
Apartamento,Apartamento en venta en Santa Barbara,1,2,69,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 425.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,73,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 318.000.000
Apartamento,Apartamento en venta en Cedritos,4,4,158,Cedritos,Usaquén,$ 660.000.000
Apartamento,Apartamento en venta en Usaquén,3,4,100,Usaquén,Usaquén,$ 730.000.000
Apartamento,Apartamento en venta en Candelaria La Nueva,3,1,54,Candelaria La Nueva,La Candelaria,$ 140.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,78,Kennedy,Kennedy Central,$ 343.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,89,Kennedy,Kennedy Central,$ 385.000.000
Casa,Casa en venta en Zona Noroccidental,4,4,220,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.300.000.000
Casa,Casa en venta en Zona Noroccidental,4,3,280,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.195.000.000
Apartamento,Apartamento en venta en Santa Barbara,2,3,85,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 519.000.000
Apartamento,Apartamento en venta en Bella Suiza,2,2,54,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 350.000.000
Apartamento,Apartamento en venta en Engativa,3,2,49,Engativa,Engativá,$ 202.000.000
Apartamento,Apartamento en venta en Colina Campestre,4,3,115,Colina Campestre,Niza,$ 429.000.000
Apartamento,Apartamento en venta en Chico Norte,2,2,88,Chico Norte,CHAPINERO: Chicó Lago + El Refugio,$ 640.000.000
Apartamento,Apartamento en venta en Mazuren,2,2,67,Mazuren,El Prado,$ 435.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,100,Usaquén,Usaquén,$ 610.000.000
Apartamento,Apartamento en venta en Normandia,2,2,77,Normandia,ENGATIVÁ: Santa Cecilia + Jardín  Botánico,$ 650.000.000
Apartamento,Apartamento en venta en Bella Suiza,1,2,61,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 421.000.000
Apartamento,Apartamento en venta en Chico Reservado,3,4,150,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 1.300.000.000
Apartamento,Apartamento en venta en Ciudad Bolívar,3,1,39,Ciudad Bolívar,CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo,$ 155.000.000
Apartamento,Apartamento en venta en Cedritos,3,3,100,Cedritos,Usaquén,$ 530.000.000
Apartamento,Apartamento en venta en Engativa,2,2,58,Engativa,Engativá,$ 330.000.000
Apartamento,Apartamento en venta en Bosa,3,2,60,Bosa,Bosa Central,$ 225.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,3,1,50,Rafael Uribe Uribe,Los Alcázares,$ 143.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,2,51,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 245.500.000
Apartamento,Apartamento en venta en Cedritos,2,3,97,Cedritos,Usaquén,$ 433.000.000
Apartamento,Apartamento en venta en Cedritos,3,2,71,Cedritos,Usaquén,$ 315.000.000
Apartamento,Apartamento en venta en Bella Suiza,2,3,82,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 450.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,1,1,57,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 350.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,51,Usaquén,Usaquén,$ 205.000.000
Casa,Casa en venta en Usaquén,4,5,236,Usaquén,Usaquén,$ 1.200.000.000
Apartamento,Apartamento en venta en Fontibón,3,2,54,Fontibón,Fontibón,$ 169.000.000
Apartamento,Apartamento en venta en Santa Barbara,1,2,66,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 375.000.000
Apartamento,Apartamento en venta en Las Villas,3,3,120,Las Villas,Niza,$ 460.000.000
Apartamento,Apartamento en venta en Cedritos,1,2,48,Cedritos,Usaquén,$ 308.000.000
Apartamento,Apartamento en venta en Chico Reservado,2,4,104,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 1.100.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,69,Cedritos,Usaquén,$ 400.000.000
Casa,Casa en venta en Modelia,4,2,200,Modelia,Fontibón,$ 860.000.000
Casa,Casa en venta en Usaquén,7,4,325,Usaquén,Usaquén,$ 1.650.000.000
Apartamento,Apartamento en venta en San Patricio,1,1,53,San Patricio,USAQUÉN: Country Club + Santa Bárbara,$ 565.000.000
Apartamento,Apartamento en venta en Barrancas,3,2,63,Barrancas,San Cristóbal Norte,$ 238.000.000
Apartamento,Apartamento en venta en Cedritos,3,3,108,Cedritos,Usaquén,$ 503.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,86,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 330.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,69,Cedritos,Usaquén,$ 400.000.000
Casa,Casa en venta en Usaquén,7,4,325,Usaquén,Usaquén,$ 1.650.000.000
Apartamento,Apartamento en venta en Cedritos,3,2,96,Cedritos,Usaquén,$ 580.000.000
Apartamento,Apartamento en venta en Cedritos,3,3,108,Cedritos,Usaquén,$ 503.000.000
Apartamento,Apartamento en venta en Cedritos,4,3,135,Cedritos,Usaquén,$ 635.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,103,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 499.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,53,Cedritos,Usaquén,$ 371.000.000
Apartamento,Apartamento en venta en Tintala,3,2,56,Tintala,Tintala,$ 179.000.000
Apartamento,Apartamento en venta en Teusaquillo,2,2,83,Teusaquillo,Teusaquillo,$ 348.200.000
Apartamento,Apartamento en venta en Barrancas,3,2,63,Barrancas,San Cristóbal Norte,$ 238.000.000
Apartamento,Apartamento en venta en Ciudad Bolívar,3,2,59,Ciudad Bolívar,CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo,$ 173.000.000
Apartamento,Apartamento en venta en Usaquén,3,3,66,Usaquén,Usaquén,$ 257.000.000
Apartamento,Apartamento en venta en Chico Reservado,2,4,104,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 1.100.000.000
Apartamento,Apartamento en venta en Engativa,3,2,70,Engativa,Engativá,$ 298.500.000
Apartamento,Apartamento en venta en Ciudad Salitre,3,2,100,Ciudad Salitre,Ciudad Salitre Oriental,$ 680.000.000
Apartamento,Apartamento en venta en Quinta Paredes,3,2,100,Quinta Paredes,Teusaquillo,$ 680.000.000
Apartamento,Apartamento en venta en Hayuelos,3,2,45,Hayuelos,Modelia,$ 217.000.000
Apartamento,Apartamento en venta en Usaquén,3,5,178,Usaquén,Usaquén,$ 1.050.000.000
Casa,Casa en venta en Usaquén,4,3,105,Usaquén,Usaquén,$ 375.000.000
Apartamento,Apartamento en venta en Cedritos,4,4,158,Cedritos,Usaquén,$ 660.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,73,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 318.000.000
Apartamento,Apartamento en venta en Cedritos,3,2,98,Cedritos,Usaquén,$ 458.000.000
Apartamento,Apartamento en venta en Santa Barbara,1,2,69,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 425.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Ciudad Salitre,4,2,200,Ciudad Salitre,Ciudad Salitre Oriental,$ 2.000.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,78,Kennedy,Kennedy Central,$ 343.000.000
Apartamento,Apartamento en venta en Usaquén,3,4,100,Usaquén,Usaquén,$ 730.000.000
Apartamento,Apartamento en venta en Candelaria La Nueva,3,1,54,Candelaria La Nueva,La Candelaria,$ 140.000.000
Casa,Casa en venta en Zona Noroccidental,4,4,220,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.300.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,89,Kennedy,Kennedy Central,$ 385.000.000
Apartamento,Apartamento en venta en Usaquén,1,2,59,Usaquén,Usaquén,$ 369.000.000
Apartamento,Apartamento en venta en Puente Aranda,1,2,51,Puente Aranda,PUENTE ARANDA: Zona Industrial + Puente Aranda,$ 366.000.000
Apartamento,Apartamento en venta en Usaquén,2,3,92,Usaquén,Usaquén,$ 378.000.000
Apartamento,Apartamento en venta en Cedritos,1,2,54,Cedritos,Usaquén,$ 355.000.000
Apartamento,Apartamento en venta en La Calleja,3,3,121,La Calleja,USAQUÉN: Country Club + Santa Bárbara,$ 700.000.000
Apartamento,Apartamento en venta en La Calleja,3,3,150,La Calleja,USAQUÉN: Country Club + Santa Bárbara,$ 990.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,3,102,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 600.000.000
Apartamento,Apartamento en venta en Cedritos,3,3,122,Cedritos,Usaquén,$ 516.000.000
Apartamento,Apartamento en venta en Cedritos,3,3,82,Cedritos,Usaquén,$ 350.000.000
Apartamento,Apartamento en venta en Bella Suiza,2,2,78,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 475.000.000
Apartamento,Apartamento en venta en Chapinero,3,2,141,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 749.000.000
Casa,Casa en venta en Zona Noroccidental,4,3,280,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.195.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,75,Usaquén,Usaquén,$ 498.000.000
Apartamento,Apartamento en venta en Santa Barbara,1,1,35,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 269.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,1,43,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 153.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,4,3,82,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 335.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,77,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 399.000.000
Apartamento,Apartamento en venta en Cedritos,1,2,51,Cedritos,Usaquén,$ 373.000.000
Apartamento,Apartamento en venta en El Contador,2,2,70,El Contador,Los Cedros,$ 415.000.000
Apartamento,Apartamento en venta en Bella Suiza,3,4,180,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 1.550.000.000
Apartamento,Apartamento en venta en El Contador,3,3,90,El Contador,Los Cedros,$ 460.000.000
Apartamento,Apartamento en venta en Cedritos,2,1,52,Cedritos,Usaquén,$ 225.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,3,2,58,Rafael Uribe Uribe,Los Alcázares,$ 200.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,2,50,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 234.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,4,2,73,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 199.000.000
Apartamento,Apartamento en venta en Bella Suiza,2,2,83,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 450.000.000
Apartamento,Apartamento en venta en Santa Barbara,5,5,375,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 1.400.000.000
Apartamento,Apartamento en venta en Engativa,3,2,49,Engativa,Engativá,$ 202.000.000
Apartamento,Apartamento en venta en Bella Suiza,2,2,54,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 350.000.000
Apartamento,Apartamento en venta en Santa Barbara,2,3,85,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 519.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,60,Usaquén,Usaquén,$ 310.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,3,70,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 355.000.000
Apartamento,Apartamento en venta en Colina Campestre,3,2,108,Colina Campestre,Niza,$ 545.000.000
Apartamento,Apartamento en venta en Chapinero,2,2,89,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 720.000.000
Apartamento,Apartamento en venta en Chapinero,3,2,95,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 650.000.000
Apartamento,Apartamento en venta en Cedritos,3,2,87,Cedritos,Usaquén,$ 343.000.000
Apartamento,Apartamento en venta en Usme,3,1,46,Usme,USME: Alfonso López + Ciudad Usme,$ 127.000.000
Apartamento,Apartamento en venta en Ciudad Salitre,3,2,70,Ciudad Salitre,Ciudad Salitre Oriental,$ 370.000.000
Apartamento,Apartamento en venta en Kennedy,3,1,57,Kennedy,Kennedy Central,$ 162.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,4,300,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.560.000.000
Apartamento,Apartamento en venta en Usme,3,1,48,Usme,USME: Alfonso López + Ciudad Usme,$ 136.000.000
Casa,Casa en venta en Engativa,4,2,90,Engativa,Engativá,$ 265.000.000
Apartamento,Apartamento en venta en Usme,2,1,43,Usme,USME: Alfonso López + Ciudad Usme,$ 131.000.000
Casa,Casa en venta en Usaquén,3,2,114,Usaquén,Usaquén,$ 416.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,1,43,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 161.000.000
Casa,Casa en venta en El Contador,4,3,210,El Contador,Los Cedros,$ 900.000.000
Casa,Casa en venta en Nueva Zelandia,4,2,105,Nueva Zelandia,SUBA: La Academia + Guaymaral + San José de Bavaria,$ 389.000.000
Apartamento,Apartamento en venta en Usaquén,3,1,54,Usaquén,Usaquén,$ 190.000.000
Apartamento,Apartamento en venta en Usme,3,1,50,Usme,USME: Alfonso López + Ciudad Usme,$ 139.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,70,Cedritos,Usaquén,$ 319.000.000
Apartamento,Apartamento en venta en Cedritos,1,2,52,Cedritos,Usaquén,$ 327.000.000
Apartamento,Apartamento en venta en La Calleja,1,2,70,La Calleja,USAQUÉN: Country Club + Santa Bárbara,$ 474.500.000
Apartamento,Apartamento en venta en Cedritos,1,2,48,Cedritos,Usaquén,$ 308.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,3,134,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 720.000.000
Apartamento,Apartamento en venta en Cedritos,3,2,66,Cedritos,Usaquén,$ 310.000.000
Apartamento,Apartamento en venta en Madelena,2,1,40,Madelena,Arborizadora,$ 177.500.000
Casa,Casa en venta en Zona Noroccidental,4,3,222,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.200.000.000
Apartamento,Apartamento en venta en El Plan,3,2,77,El Plan,El Rincón,$ 380.000.000
Apartamento,Apartamento en venta en Suba,3,2,53,Suba,Suba,$ 210.000.000
